Title,Company,CompanyRating,Location,Salary
Leasing Manager,TF Cornerstone,3.9,"New York, NY ","$70,000 - $80,000 a year"
Guest Service Representative,New Age Property Associates,,"New York, NY ",$20.50 - $27.10 an hour
Retail Sales Associate,The National September 11 Memorial & Museum,,"New York, NY ",
Seasonal Gift Wrapper,Nifty Package Co,,"New York, NY ",$18 - $20 an hour
New York City Housing Authority (Contract) Office Assistant,Toll International LLC,,"New York, NY ","$116,480 a year"
Overnight Inbound (Stocking),TARGET,3.6,"Brooklyn, NY +17 locations",
Houseman,The Manhattan Club,3.6,"New York, NY ",$28.08 an hour
Seasonal Overnight Retail Stock - Union Square Rack,Nordstrom,3.8,"New York, NY ",$16.80 - $17.50 an hour
Warehouse Associate - Central Harlem,"DoorDash, Inc.",3.3,"New York, NY +1 location",$19 an hour
Back Waiter/Food Runner,da Toscano,,"New York, NY ",
Intake Team Lead,FreedomCare,4.3,"New York, NY ",
Bronx Facilities Manager,Goldfarb Properties,4.0,"New York, NY ","$85,000 - $150,000 a year"
Cashier Associate,Mango,3.6,"New York, NY ",$17.50 an hour
Housing Front Desk Attendant,Project Renewal,3.4,"New York, NY ",$17.50 an hour
Content Creator,Focus Integrated Fitness,4.6,"New York, NY ","$50,000 - $71,500 a year"
Reward Analyst - New York,TikTok,3.4,"New York, NY ",
Medical Assistant,PureOBGYN,,"New York, NY ",$18 - $27 an hour
Warehouse Associate Night Shift,Poland Spring,3.4,"Long Island City, NY ",
Barista,Starbucks,3.9,"New York, NY +125 locations",$16 - $17 an hour
"Corporate Traveler - Corporate Travel Consultant - New York, NY",Corporate Traveler (US),3.4,"New York, NY ","$50,000 - $90,000 a year"
"Sales Associate - David Yurman, Full Time, 59th Street",Bloomingdale’s,3.6,"New York, NY ",$15.00 - $34.05 an hour
"Hospital/Community liaison *very high salary* 20,000 sign on bonus",Horizon Care Center,3.1,"Far Rockaway, NY ",
Restaurant Team Member - Crew,Chipotle Mexican Grill,3.5,"New York, NY +67 locations",$17 - $23 an hour
Server,Moko,,"New York, NY ",$30 - $40 an hour
Crew Member,Chipotle Mexican Grill,3.5,"New York, NY +12 locations",
Sales Associates: Handbags and Accessories Virtual Hiring Event,Bloomingdale’s,3.6,"New York, NY ",$15 - $30 an hour
Junior Business Analyst (Remote),Mobile Health,3.1,"New York, NY ","$70,000 - $80,000 a year"
High-level Executive and Personal Assistant,Confidential,,"New York, NY ",
Locomotive Engineer Trainee,Metropolitan Transportation Authority,4.0,"Queens, NY ",
Coat Check,Peak,,"New York, NY ",
"Technician, Specimen I",Quest Diagnostics,3.6,"Manhattan, NY +1 location",
Nurse Aide (Trnsprt Escrt),NYC Health + Hospitals,3.8,"New York, NY ",
Bilingual Spanish Home Care Coordinator,Heart to Heart Home Care,3.2,"Brooklyn, NY ",
"Corporate Services Associate, Full Time: 59th Street",Bloomingdale’s,3.6,"New York, NY ",$15.00 - $59.65 an hour
"PR Trainee, Entertainment Relations",Christian Dior Couture,4.1,"New York, NY ",
"Sales Associate - Armani Collezione, Full Time, 59th Street",Bloomingdale’s,3.6,"New York, NY ",$15.00 - $34.05 an hour
Territory Account Manager - Hudson Yards,Uline,3.1,"Manhattan, NY ","$68,000 - $120,000 a year"
Bartender,Fairfield Inn & Suites,3.4,"New York, NY ",
Cashiers,Panera Bread,3.4,"New York, NY +33 locations",
Barista,The Juice Press Llc,3.1,"New York, NY ",
Cruise Ship Staff - Virtual Job Fair @ Norwegian Cruise Line!!,Norwegian Cruise Line Holdings,3.8,"New York, NY ",
Onsite Leasing Agent,Stellar Management,3.5,"New York, NY ","$45,000 - $139,916 a year"
"Case Support Specialist, Homebase, Brooklyn and Staten Island",CAMBA,3.5,"Brooklyn, NY ",$25 an hour
CARETAKER X,NYC Careers,,"Manhattan, NY ","$31,836 - $46,278 a year"
COVID-19 Vaccinator,Jacaranda Consulting,,"New York, NY ",$55 - $60 an hour
HR Associate,United States District Court Northern District of Indiana,4.3,"New York, NY ","$50,870 a year"
Baggage Handling Agent-JFK Airport-Vaccinations Required,"PrimeFlight Aviation Services, Inc.",,"Jamaica, NY ",$20 an hour
Bartender,Virgils Real BBQ - Time Square,,"New York, NY ","$1,200 - $1,500 a week"
"Sales Associate - Kooples Women's, Part Time: 59th Street",Bloomingdale’s,3.6,"New York, NY ",$15.00 - $34.05 an hour
Driver with own car,ELIFE TRANSFER,,"New York, NY ",$150 - $300 a day
Diesel Technicians - All Levels,"Allegiance Trucks, LLC.",,"Brooklyn, NY ",
